IDN: HEWLETT-PACKARD,34420A,0,9.0-5.0-2.0
 
Nr.     Date                   Data_on_Ch_1_[V]   Data_on_Ch_2_[V]   
1       2017-10-11 16:39:37    +5.02390000E+00    +4.56160000E+00    
2       2017-10-11 16:39:37    +4.64000000E+00    +4.53810000E+00    
3       2017-10-11 16:39:38    +4.62260000E+00    +4.56720000E+00    
4       2017-10-11 16:39:38    +4.58180000E+00    +4.53090000E+00    
5       2017-10-11 16:39:39    +4.52580000E+00    +4.49780000E+00    
6       2017-10-11 16:39:39    +4.55490000E+00    +4.53030000E+00    
7       2017-10-11 16:39:39    +4.53140000E+00    +4.49280000E+00    
8       2017-10-11 16:39:40    +4.49000000E+00    +4.46260000E+00    
9       2017-10-11 16:39:40    +4.52250000E+00    +4.49620000E+00    
10      2017-10-11 16:39:41    +4.50740000E+00    +4.46200000E+00    
11      2017-10-11 16:39:41    +4.45750000E+00    +4.43850000E+00    
12      2017-10-11 16:39:42    +4.45700000E+00    +4.44750000E+00    
13      2017-10-11 16:39:42    +4.47490000E+00    +4.43460000E+00    
14      2017-10-11 16:39:42    +4.40940000E+00    +4.38200000E+00    
15      2017-10-11 16:39:43    +4.43180000E+00    +4.40940000E+00    
16      2017-10-11 16:39:43    +4.43400000E+00    +4.39260000E+00    
17      2017-10-11 16:39:44    +4.36740000E+00    +4.34340000E+00    
18      2017-10-11 16:39:44    +4.36240000E+00    +4.35010000E+00    
19      2017-10-11 16:39:44    +4.39820000E+00    +4.36740000E+00    
20      2017-10-11 16:39:45    +4.34000000E+00    +4.30920000E+00    
21      2017-10-11 16:39:45    +4.32720000E+00    +4.30980000E+00    
22      2017-10-11 16:39:46    +4.36020000E+00    +4.32830000E+00    
23      2017-10-11 16:39:46    +4.29530000E+00    +4.26840000E+00    
24      2017-10-11 16:39:46    +4.28520000E+00    +4.27010000E+00    
25      2017-10-11 16:39:47    +4.32160000E+00    +4.29360000E+00    
26      2017-10-11 16:39:47    +4.28690000E+00    +4.24600000E+00    
27      2017-10-11 16:39:48    +4.24770000E+00    +4.22590000E+00    
28      2017-10-11 16:39:48    +4.28290000E+00    +4.25610000E+00    
29      2017-10-11 16:39:48    +4.25550000E+00    +4.21630000E+00    
30      2017-10-11 16:39:49    +4.20960000E+00    +4.18780000E+00    
31      2017-10-11 16:39:49    +4.24770000E+00    +4.22140000E+00    
32      2017-10-11 16:39:50    +4.23090000E+00    +4.18500000E+00    
33      2017-10-11 16:39:50    +4.17270000E+00    +4.14640000E+00    
34      2017-10-11 16:39:50    +4.19400000E+00    +4.17440000E+00    
35      2017-10-11 16:39:51    +4.19840000E+00    +4.15650000E+00    
36      2017-10-11 16:39:51    +4.13520000E+00    +4.11220000E+00    
37      2017-10-11 16:39:52    +4.17600000E+00    +4.14860000E+00    
38      2017-10-11 16:39:52    +4.16320000E+00    +4.12060000E+00    
39      2017-10-11 16:39:52    +4.10830000E+00    +4.07310000E+00    
40      2017-10-11 16:39:53    +4.12510000E+00    +4.10110000E+00    
41      2017-10-11 16:39:53    +4.13300000E+00    +4.09770000E+00    
42      2017-10-11 16:39:54    +4.08310000E+00    +4.04680000E+00    
43      2017-10-11 16:39:54    +4.07760000E+00    +4.05630000E+00    
44      2017-10-11 16:39:55    +4.10270000E+00    +4.06690000E+00    
45      2017-10-11 16:39:55    +4.04900000E+00    +4.01600000E+00    
46      2017-10-11 16:39:55    +4.03450000E+00    +4.01650000E+00    
47      2017-10-11 16:39:56    +4.07360000E+00    +4.03950000E+00    
48      2017-10-11 16:39:56    +4.01710000E+00    +3.98740000E+00    
