IDN: HEWLETT-PACKARD,34420A,0,9.0-5.0-2.0
 
Nr.     Date                   Data_on_Ch_1_[V]   Data_on_Ch_2_[V]   
1       2017-10-13 12:51:40    +3.27730000E+00    +2.68740000E+00    
2       2017-10-13 12:51:41    +2.79040000E+00    +2.71430000E+00    
3       2017-10-13 12:51:41    +2.78370000E+00    +2.75010000E+00    
4       2017-10-13 12:51:42    +2.71370000E+00    +2.68740000E+00    
5       2017-10-13 12:51:42    +2.71260000E+00    +2.67790000E+00    
6       2017-10-13 12:51:42    +2.73270000E+00    +2.70750000E+00    
7       2017-10-13 12:51:43    +2.67620000E+00    +2.65380000E+00    
8       2017-10-13 12:51:43    +2.66500000E+00    +2.63540000E+00    
9       2017-10-13 12:51:44    +2.68400000E+00    +2.65380000E+00    
10      2017-10-13 12:51:44    +2.64600000E+00    +2.62530000E+00    
11      2017-10-13 12:51:45    +2.61130000E+00    +2.58110000E+00    
12      2017-10-13 12:51:45    +2.64210000E+00    +2.61410000E+00    
13      2017-10-13 12:51:45    +2.61800000E+00    +2.59620000E+00    
14      2017-10-13 12:51:46    +2.56650000E+00    +2.53740000E+00    
15      2017-10-13 12:51:46    +2.59000000E+00    +2.55360000E+00    
16      2017-10-13 12:51:47    +2.58550000E+00    +2.56540000E+00    
17      2017-10-13 12:51:47    +2.52170000E+00    +2.49940000E+00    
18      2017-10-13 12:51:47    +2.53290000E+00    +2.50160000E+00    
19      2017-10-13 12:51:48    +2.55030000E+00    +2.52620000E+00    
20      2017-10-13 12:51:48    +2.49260000E+00    +2.47470000E+00    
21      2017-10-13 12:51:49    +2.48260000E+00    +2.44900000E+00    
22      2017-10-13 12:51:49    +2.51220000E+00    +2.48760000E+00    
23      2017-10-13 12:51:49    +2.47700000E+00    +2.45350000E+00    
24      2017-10-13 12:51:50    +2.43840000E+00    +2.40310000E+00    
25      2017-10-13 12:51:50    +2.48260000E+00    +2.44620000E+00    
26      2017-10-13 12:51:51    +2.43500000E+00    +2.41430000E+00    
27      2017-10-13 12:51:51    +2.39580000E+00    +2.36220000E+00    
28      2017-10-13 12:51:51    +2.42550000E+00    +2.39130000E+00    
29      2017-10-13 12:51:52    +2.41320000E+00    +2.38860000E+00    
30      2017-10-13 12:51:52    +2.35160000E+00    +2.32760000E+00    
31      2017-10-13 12:51:53    +2.37680000E+00    +2.34600000E+00    
32      2017-10-13 12:51:53    +2.37570000E+00    +2.35270000E+00    
33      2017-10-13 12:51:53    +2.31690000E+00    +2.29680000E+00    
34      2017-10-13 12:51:54    +2.32030000E+00    +2.28840000E+00    
35      2017-10-13 12:51:54    +2.34550000E+00    +2.31920000E+00    
36      2017-10-13 12:51:55    +2.29450000E+00    +2.27660000E+00    
37      2017-10-13 12:51:55    +2.27380000E+00    +2.23910000E+00    
38      2017-10-13 12:51:55    +2.30910000E+00    +2.28220000E+00    
39      2017-10-13 12:51:56    +2.28220000E+00    +2.25480000E+00    
40      2017-10-13 12:51:56    +2.23300000E+00    +2.20160000E+00    
41      2017-10-13 12:51:57    +2.25870000E+00    +2.23410000E+00    
42      2017-10-13 12:51:57    +2.24140000E+00    +2.22010000E+00    
43      2017-10-13 12:51:58    +2.19210000E+00    +2.16640000E+00    
44      2017-10-13 12:51:58    +2.21620000E+00    +2.18650000E+00    
45      2017-10-13 12:51:58    +2.21170000E+00    +2.18650000E+00    
46      2017-10-13 12:51:59    +2.15570000E+00    +2.12890000E+00    
47      2017-10-13 12:51:59    +2.16640000E+00    +2.14060000E+00    
48      2017-10-13 12:52:00    +2.18480000E+00    +2.16020000E+00    
49      2017-10-13 12:52:00    +2.11660000E+00    +2.10150000E+00    
50      2017-10-13 12:52:00    +2.12330000E+00    +2.09190000E+00    
51      2017-10-13 12:52:01    +2.14230000E+00    +2.11940000E+00    
52      2017-10-13 12:52:01    +2.09470000E+00    +2.06620000E+00    
53      2017-10-13 12:52:02    +2.07630000E+00    +2.04830000E+00    
54      2017-10-13 12:52:02    +2.10870000E+00    +2.08520000E+00    
55      2017-10-13 12:52:02    +2.08750000E+00    +2.06400000E+00    
56      2017-10-13 12:52:03    +2.03710000E+00    +2.00690000E+00    
57      2017-10-13 12:52:03    +2.06340000E+00    +2.04160000E+00    
58      2017-10-13 12:52:04    +2.04940000E+00    +2.02590000E+00    
59      2017-10-13 12:52:04    +2.00020000E+00    +1.97330000E+00    
60      2017-10-13 12:52:04    +2.01920000E+00    +1.99120000E+00    
61      2017-10-13 12:52:05    +2.02530000E+00    +2.00580000E+00    
62      2017-10-13 12:52:05    +1.96270000E+00    +1.94250000E+00    
63      2017-10-13 12:52:06    +1.96990000E+00    +1.94420000E+00    
64      2017-10-13 12:52:06    +1.99290000E+00    +1.97330000E+00    
65      2017-10-13 12:52:06    +1.93970000E+00    +1.92070000E+00    
66      2017-10-13 12:52:07    +1.94250000E+00    +1.91230000E+00    
67      2017-10-13 12:52:07    +1.95990000E+00    +1.93970000E+00    
68      2017-10-13 12:52:08    +1.91850000E+00    +1.90110000E+00    
69      2017-10-13 12:52:08    +1.88940000E+00    +1.85910000E+00    
70      2017-10-13 12:52:08    +1.92350000E+00    +1.89160000E+00    
71      2017-10-13 12:52:09    +1.89940000E+00    +1.87820000E+00    
72      2017-10-13 12:52:09    +1.85240000E+00    +1.82560000E+00    
73      2017-10-13 12:52:10    +1.87980000E+00    +1.84460000E+00    
74      2017-10-13 12:52:10    +1.86920000E+00    +1.84740000E+00    
75      2017-10-13 12:52:11    +1.82330000E+00    +1.79760000E+00    
76      2017-10-13 12:52:11    +1.83230000E+00    +1.79700000E+00    
77      2017-10-13 12:52:11    +1.84850000E+00    +1.82610000E+00    
78      2017-10-13 12:52:12    +1.78690000E+00    +1.76790000E+00    
79      2017-10-13 12:52:12    +1.78690000E+00    +1.75730000E+00    
80      2017-10-13 12:52:13    +1.82160000E+00    +1.79760000E+00    
81      2017-10-13 12:52:13    +1.77240000E+00    +1.74890000E+00    
82      2017-10-13 12:52:13    +1.76900000E+00    +1.73540000E+00    
83      2017-10-13 12:52:14    +1.78470000E+00    +1.76340000E+00    
84      2017-10-13 12:52:14    +1.74830000E+00    +1.72480000E+00    
85      2017-10-13 12:52:15    +1.71640000E+00    +1.69180000E+00    
86      2017-10-13 12:52:15    +1.74160000E+00    +1.71920000E+00    
87      2017-10-13 12:52:15    +1.72430000E+00    +1.70240000E+00    
88      2017-10-13 12:52:16    +1.68120000E+00    +1.65320000E+00    
89      2017-10-13 12:52:16    +1.71030000E+00    +1.67840000E+00    
90      2017-10-13 12:52:17    +1.70410000E+00    +1.68120000E+00    
91      2017-10-13 12:52:17    +1.64530000E+00    +1.62130000E+00    
92      2017-10-13 12:52:17    +1.66720000E+00    +1.63810000E+00    
93      2017-10-13 12:52:18    +1.62970000E+00    +1.62070000E+00    
94      2017-10-13 12:52:18    +1.62070000E+00    +1.59390000E+00    
95      2017-10-13 12:52:19    +1.62460000E+00    +1.59670000E+00    
96      2017-10-13 12:52:19    +1.65370000E+00    +1.63020000E+00    
97      2017-10-13 12:52:19    +1.60110000E+00    +1.58210000E+00    
98      2017-10-13 12:52:20    +1.60670000E+00    +1.57480000E+00    
99      2017-10-13 12:52:20    +1.62350000E+00    +1.59950000E+00    
100     2017-10-13 12:52:21    +1.61230000E+00    +1.58710000E+00    
101     2017-10-13 12:52:21    +1.54010000E+00    +1.51890000E+00    
102     2017-10-13 12:52:21    +1.59950000E+00    +1.56480000E+00    
103     2017-10-13 12:52:22    +1.56980000E+00    +1.54740000E+00    
104     2017-10-13 12:52:22    +1.51550000E+00    +1.48580000E+00    
105     2017-10-13 12:52:23    +1.54630000E+00    +1.51660000E+00    
106     2017-10-13 12:52:23    +1.53730000E+00    +1.51890000E+00    
107     2017-10-13 12:52:24    +1.48420000E+00    +1.45790000E+00    
108     2017-10-13 12:52:24    +1.49420000E+00    +1.46680000E+00    
109     2017-10-13 12:52:24    +1.51380000E+00    +1.49420000E+00    
110     2017-10-13 12:52:25    +1.45280000E+00    +1.43320000E+00    
111     2017-10-13 12:52:25    +1.46070000E+00    +1.43770000E+00    
112     2017-10-13 12:52:26    +1.48920000E+00    +1.46790000E+00    
113     2017-10-13 12:52:26    +1.44220000E+00    +1.42370000E+00    
114     2017-10-13 12:52:26    +1.43550000E+00    +1.40640000E+00    
115     2017-10-13 12:52:27    +1.46180000E+00    +1.43880000E+00    
116     2017-10-13 12:52:27    +1.39970000E+00    +1.37950000E+00    
117     2017-10-13 12:52:28    +1.43880000E+00    +1.41590000E+00    
118     2017-10-13 12:52:28    +1.40920000E+00    +1.39130000E+00    
119     2017-10-13 12:52:28    +1.38290000E+00    +1.35770000E+00    
120     2017-10-13 12:52:29    +1.38060000E+00    +1.34760000E+00    
121     2017-10-13 12:52:29    +1.38510000E+00    +1.34930000E+00    
122     2017-10-13 12:52:30    +1.39020000E+00    +1.34990000E+00    
123     2017-10-13 12:52:30    +1.34480000E+00    +1.32640000E+00    
124     2017-10-13 12:52:31    +1.35710000E+00    +1.34030000E+00    
125     2017-10-13 12:52:31    +1.36660000E+00    +1.34540000E+00    
126     2017-10-13 12:52:31    +1.36890000E+00    +1.33750000E+00    
127     2017-10-13 12:52:32    +1.29110000E+00    +1.27320000E+00    
128     2017-10-13 12:52:32    +1.31290000E+00    +1.29000000E+00    
129     2017-10-13 12:52:33    +1.33590000E+00    +1.30280000E+00    
130     2017-10-13 12:52:33    +1.26650000E+00    +1.25300000E+00    
131     2017-10-13 12:52:34    +1.25250000E+00    +1.23400000E+00    
132     2017-10-13 12:52:34    +1.30900000E+00    +1.27710000E+00    
133     2017-10-13 12:52:35    +1.24300000E+00    +1.23180000E+00    
134     2017-10-13 12:52:35    +1.24300000E+00    +1.21780000E+00    
135     2017-10-13 12:52:35    +1.22560000E+00    +1.20990000E+00    
136     2017-10-13 12:52:36    +1.28890000E+00    +1.25300000E+00    
137     2017-10-13 12:52:36    +1.22000000E+00    +1.20100000E+00    
138     2017-10-13 12:52:37    +1.26870000E+00    +1.23400000E+00    
139     2017-10-13 12:52:37    +1.23070000E+00    +1.19650000E+00    
140     2017-10-13 12:52:38    +1.19880000E+00    +1.18480000E+00    
141     2017-10-13 12:52:38    +1.24020000E+00    +1.20660000E+00    
142     2017-10-13 12:52:39    +1.16130000E+00    +1.14840000E+00    
143     2017-10-13 12:52:39    +1.16180000E+00    +1.14280000E+00    
144     2017-10-13 12:52:40    +1.17470000E+00    +1.14950000E+00    
145     2017-10-13 12:52:40    +1.18140000E+00    +1.14560000E+00    
146     2017-10-13 12:52:40    +1.15230000E+00    +1.14110000E+00    
147     2017-10-13 12:52:41    +1.19710000E+00    +1.16070000E+00    
148     2017-10-13 12:52:41    +1.11820000E+00    +1.10530000E+00    
149     2017-10-13 12:52:42    +1.16520000E+00    +1.13220000E+00    
150     2017-10-13 12:52:42    +1.16690000E+00    +1.14390000E+00    
151     2017-10-13 12:52:43    +1.15960000E+00    +1.13160000E+00    
152     2017-10-13 12:52:43    +1.15510000E+00    +1.12380000E+00    
153     2017-10-13 12:52:44    +1.10700000E+00    +1.09800000E+00    
154     2017-10-13 12:52:44    +1.10530000E+00    +1.09410000E+00    
155     2017-10-13 12:52:45    +1.08850000E+00    +1.07170000E+00    
156     2017-10-13 12:52:45    +1.06280000E+00    +1.03480000E+00    
157     2017-10-13 12:52:46    +1.05160000E+00    +1.03200000E+00    
158     2017-10-13 12:52:46    +1.03870000E+00    +1.02410000E+00    
159     2017-10-13 12:52:47    +1.07170000E+00    +1.05160000E+00    
160     2017-10-13 12:52:47    +1.06440000E+00    +1.03250000E+00    
161     2017-10-13 12:52:48    +1.05320000E+00    +1.01460000E+00    
162     2017-10-13 12:52:48    +1.01020000E+00    +1.02078000E+00    
163     2017-10-13 12:52:49    +1.05100000E+00    +1.03180000E+00    
164     2017-10-13 12:52:49    +1.02130000E+00    +9.97780000E-01    
165     2017-10-13 12:52:50    +1.00597000E+00    +1.00614000E+00    
166     2017-10-13 12:52:50    +1.01801000E+00    +9.93200000E-01    
167     2017-10-13 12:52:51    +9.58780000E-01    +9.39170000E-01    
168     2017-10-13 12:52:51    +9.36860000E-01    +9.24370000E-01    
169     2017-10-13 12:52:52    +1.00009000E+00    +9.72910000E-01    
170     2017-10-13 12:52:52    +9.91390000E-01    +9.59070000E-01    
171     2017-10-13 12:52:52    +9.18430000E-01    +9.02100000E-01    
172     2017-10-13 12:52:53    +9.43700000E-01    +9.20810000E-01    
173     2017-10-13 12:52:53    +9.18550000E-01    +8.92500000E-01    
174     2017-10-13 12:52:54    +9.06280000E-01    +8.94810000E-01    
175     2017-10-13 12:52:54    +8.95830000E-01    +8.89160000E-01    
176     2017-10-13 12:52:55    +9.45160000E-01    +9.26180000E-01    
177     2017-10-13 12:52:55    +9.13520000E-01    +8.91530000E-01    
178     2017-10-13 12:52:55    +9.26180000E-01    +9.06000000E-01    
179     2017-10-13 12:52:56    +8.81980000E-01    +8.58810000E-01    
180     2017-10-13 12:52:56    +8.83790000E-01    +8.55930000E-01    
181     2017-10-13 12:52:57    +9.00920000E-01    +8.78200000E-01    
182     2017-10-13 12:52:57    +8.42140000E-01    +8.18860000E-01    
183     2017-10-13 12:52:58    +8.52820000E-01    +8.39490000E-01    
184     2017-10-13 12:52:58    +8.74470000E-01    +8.53160000E-01    
185     2017-10-13 12:52:59    +8.24680000E-01    +8.02640000E-01    
186     2017-10-13 12:52:59    +8.65310000E-01    +8.43220000E-01    
187     2017-10-13 12:52:59    +8.37280000E-01    +8.25020000E-01    
188     2017-10-13 12:53:00    +7.89760000E-01    +7.82980000E-01    
189     2017-10-13 12:53:00    +7.83600000E-01    +7.68790000E-01    
190     2017-10-13 12:53:01    +8.32250000E-01    +8.04620000E-01    
191     2017-10-13 12:53:01    +7.93260000E-01    +7.61330000E-01    
192     2017-10-13 12:53:02    +8.43100000E-01    +8.05640000E-01    
193     2017-10-13 12:53:02    +8.29770000E-01    +7.94110000E-01    
194     2017-10-13 12:53:03    +7.91620000E-01    +7.57380000E-01    
195     2017-10-13 12:53:03    +8.33330000E-01    +7.90720000E-01    
196     2017-10-13 12:53:03    +7.55170000E-01    +7.37600000E-01    
197     2017-10-13 12:53:04    +8.06200000E-01    +7.79080000E-01    
198     2017-10-13 12:53:04    +7.72690000E-01    +7.50880000E-01    
199     2017-10-13 12:53:05    +7.16120000E-01    +7.05330000E-01    
200     2017-10-13 12:53:05    +7.18610000E-01    +7.02560000E-01    
201     2017-10-13 12:53:06    +7.79250000E-01    +7.50310000E-01    
202     2017-10-13 12:53:06    +7.78680000E-01    +7.43130000E-01    
203     2017-10-13 12:53:07    +7.21830000E-01    +6.94700000E-01    
204     2017-10-13 12:53:07    +7.04480000E-01    +6.77180000E-01    
205     2017-10-13 12:53:08    +7.03520000E-01    +6.82610000E-01    
206     2017-10-13 12:53:08    +7.67830000E-01    +7.23300000E-01    
207     2017-10-13 12:53:09    +6.87470000E-01    +6.70570000E-01    
208     2017-10-13 12:53:09    +6.83340000E-01    +6.70970000E-01    
209     2017-10-13 12:53:10    +6.60170000E-01    +6.46330000E-01    
210     2017-10-13 12:53:10    +6.70290000E-01    +6.56110000E-01    
211     2017-10-13 12:53:11    +6.77580000E-01    +6.56670000E-01    
212     2017-10-13 12:53:11    +7.00750000E-01    +6.69160000E-01    
213     2017-10-13 12:53:12    +6.88830000E-01    +6.67690000E-01    
214     2017-10-13 12:53:12    +7.07810000E-01    +6.73000000E-01    
215     2017-10-13 12:53:12    +6.81080000E-01    +6.54580000E-01    
216     2017-10-13 12:53:13    +6.98430000E-01    +6.62040000E-01    
217     2017-10-13 12:53:14    +6.64130000E-01    +6.40900000E-01    
218     2017-10-13 12:53:14    +6.34520000E-01    +6.14340000E-01    
219     2017-10-13 12:53:14    +6.68480000E-01    +6.47010000E-01    
220     2017-10-13 12:53:15    +6.67520000E-01    +6.37680000E-01    
221     2017-10-13 12:53:15    +6.58760000E-01    +6.26780000E-01    
222     2017-10-13 12:53:16    +6.38870000E-01    +6.10730000E-01    
223     2017-10-13 12:53:16    +6.11070000E-01    +5.89870000E-01    
224     2017-10-13 12:53:17    +6.36440000E-01    +6.01010000E-01    
225     2017-10-13 12:53:17    +5.63200000E-01    +5.52910000E-01    
226     2017-10-13 12:53:18    +5.63030000E-01    +5.48050000E-01    
227     2017-10-13 12:53:18    +5.63600000E-01    +5.45230000E-01    
228     2017-10-13 12:53:19    +5.92760000E-01    +5.66820000E-01    
229     2017-10-13 12:53:20    +6.07170000E-01    +5.83540000E-01    
230     2017-10-13 12:53:20    +5.64330000E-01    +5.42740000E-01    
231     2017-10-13 12:53:21    +5.89250000E-01    +5.55800000E-01    
232     2017-10-13 12:53:21    +5.49010000E-01    +5.18330000E-01    
233     2017-10-13 12:53:22    +5.38450000E-01    +5.16010000E-01    
234     2017-10-13 12:53:22    +5.73820000E-01    +5.49860000E-01    
235     2017-10-13 12:53:23    +5.61050000E-01    +5.44890000E-01    
236     2017-10-13 12:53:23    +5.88630000E-01    +5.50600000E-01    
237     2017-10-13 12:53:24    +5.38280000E-01    +5.08100000E-01    
238     2017-10-13 12:53:24    +5.57490000E-01    +5.28950000E-01    
239     2017-10-13 12:53:25    +5.65460000E-01    +5.43020000E-01    
240     2017-10-13 12:53:25    +5.62800000E-01    +5.31890000E-01    
241     2017-10-13 12:53:26    +4.95890000E-01    +4.74480000E-01    
242     2017-10-13 12:53:26    +4.91490000E-01    +4.71820000E-01    
243     2017-10-13 12:53:27    +4.88490000E-01    +4.68370000E-01    
244     2017-10-13 12:53:27    +5.49240000E-01    +5.19230000E-01    
245     2017-10-13 12:53:28    +5.22790000E-01    +4.92790000E-01    
246     2017-10-13 12:53:28    +5.00410000E-01    +4.67190000E-01    
247     2017-10-13 12:53:29    +5.32850000E-01    +4.96180000E-01    
248     2017-10-13 12:53:29    +5.19520000E-01    +4.94820000E-01    
249     2017-10-13 12:53:30    +4.68710000E-01    +4.44580000E-01    
250     2017-10-13 12:53:30    +5.11320000E-01    +4.85720000E-01    
251     2017-10-13 12:53:31    +5.17260000E-01    +4.84310000E-01    
252     2017-10-13 12:53:32    +4.42040000E-01    +4.26720000E-01    
253     2017-10-13 12:53:32    +4.48710000E-01    +4.29550000E-01    
254     2017-10-13 12:53:33    +4.44130000E-01    +4.27850000E-01    
255     2017-10-13 12:53:33    +4.51360000E-01    +4.22370000E-01    
256     2017-10-13 12:53:34    +4.76000000E-01    +4.46500000E-01    
257     2017-10-13 12:53:34    +4.74080000E-01    +4.63000000E-01    
258     2017-10-13 12:53:35    +4.81310000E-01    +4.59100000E-01    
259     2017-10-13 12:53:35    +4.15700000E-01    +3.96430000E-01    
260     2017-10-13 12:53:36    +4.77470000E-01    +4.48710000E-01    
261     2017-10-13 12:53:37    +4.16160000E-01    +3.92700000E-01    
262     2017-10-13 12:53:37    +4.44520000E-01    +4.10900000E-01    
263     2017-10-13 12:53:38    +4.12480000E-01    +3.82640000E-01    
264     2017-10-13 12:53:38    +4.30510000E-01    +3.99260000E-01    
265     2017-10-13 12:53:39    +4.73400000E-01    +4.31870000E-01    
266     2017-10-13 12:53:39    +4.31980000E-01    +4.06150000E-01    
267     2017-10-13 12:53:40    +3.97730000E-01    +3.81800000E-01    
268     2017-10-13 12:53:40    +4.30680000E-01    +3.96260000E-01    
269     2017-10-13 12:53:41    +4.01740000E-01    +3.70720000E-01    
270     2017-10-13 12:53:42    +3.68570000E-01    +3.59640000E-01    
271     2017-10-13 12:53:42    +3.75180000E-01    +3.55690000E-01    
272     2017-10-13 12:53:43    +3.94680000E-01    +3.95640000E-01    
273     2017-10-13 12:53:43    +4.24180000E-01    +4.01630000E-01    
274     2017-10-13 12:53:44    +3.90270000E-01    +3.62300000E-01    
275     2017-10-13 12:53:45    +4.37060000E-01    +3.96550000E-01    
276     2017-10-13 12:53:45    +3.78400000E-01    +3.56760000E-01    
277     2017-10-13 12:53:46    +4.11410000E-01    +3.91970000E-01    
278     2017-10-13 12:53:46    +3.98240000E-01    +3.68230000E-01    
279     2017-10-13 12:53:47    +4.20170000E-01    +3.79250000E-01    
280     2017-10-13 12:53:47    +3.79760000E-01    +3.51510000E-01    
281     2017-10-13 12:53:48    +3.46760000E-01    +3.16980000E-01    
282     2017-10-13 12:53:49    +3.81740000E-01    +3.51450000E-01    
283     2017-10-13 12:53:49    +4.05930000E-01    +3.66090000E-01    
284     2017-10-13 12:53:50    +3.53480000E-01    +3.31440000E-01    
285     2017-10-13 12:53:50    +3.34040000E-01    +3.06470000E-01    
286     2017-10-13 12:53:51    +3.22570000E-01    +3.05560000E-01    
287     2017-10-13 12:53:52    +3.27090000E-01    +3.05500000E-01    
288     2017-10-13 12:53:52    +3.27880000E-01    +3.17090000E-01    
289     2017-10-13 12:53:53    +3.67550000E-01    +3.47100000E-01    
290     2017-10-13 12:53:53    +3.15170000E-01    +3.06800000E-01    
291     2017-10-13 12:53:54    +3.33590000E-01    +3.18390000E-01    
292     2017-10-13 12:53:55    +3.04490000E-01    +2.99510000E-01    
293     2017-10-13 12:53:55    +3.30260000E-01    +3.12510000E-01    
294     2017-10-13 12:53:56    +2.86060000E-01    +2.75610000E-01    
295     2017-10-13 12:53:56    +3.24150000E-01    +3.00640000E-01    
296     2017-10-13 12:53:57    +3.36420000E-01    +3.12170000E-01    
297     2017-10-13 12:53:58    +3.08610000E-01    +2.77590000E-01    
298     2017-10-13 12:53:58    +3.20820000E-01    +2.87590000E-01    
299     2017-10-13 12:53:59    +3.55070000E-01    +3.09290000E-01    
300     2017-10-13 12:54:00    +2.93020000E-01    +2.67700000E-01    
301     2017-10-13 12:54:00    +2.81940000E-01    +2.65320000E-01    
302     2017-10-13 12:54:01    +2.72220000E-01    +2.52270000E-01    
303     2017-10-13 12:54:01    +2.83800000E-01    +2.74480000E-01    
304     2017-10-13 12:54:02    +2.89000000E-01    +2.72950000E-01    
305     2017-10-13 12:54:03    +2.67810000E-01    +2.41980000E-01    
