IDN: HEWLETT-PACKARD,34420A,0,9.0-5.0-2.0
 
Nr.      Date                   Data_on_Ch_1_[V]   Data_on_Ch_2_[V]
1        2017-10-12 13:34:13    +1.74550000E+00    -    
2        2017-10-12 13:34:13    +1.79590000E+00    -    
3        2017-10-12 13:34:13    +1.81660000E+00    -    
4        2017-10-12 13:34:14    +1.67390000E+00    -    
5        2017-10-12 13:34:14    +1.70970000E+00    -    
6        2017-10-12 13:34:14    +1.76290000E+00    -    
7        2017-10-12 13:34:14    +1.61850000E+00    -    
8        2017-10-12 13:34:14    +1.77800000E+00    -    
9        2017-10-12 13:34:15    +1.77460000E+00    -    
10       2017-10-12 13:34:15    +1.69630000E+00    -    
11       2017-10-12 13:34:15    +1.69290000E+00    -    
12       2017-10-12 13:34:15    +1.59050000E+00    -    
13       2017-10-12 13:34:15    +1.58380000E+00    -    
14       2017-10-12 13:34:16    +1.74830000E+00    -    
15       2017-10-12 13:34:16    +1.70800000E+00    -    
16       2017-10-12 13:34:16    +1.62130000E+00    -    
17       2017-10-12 13:34:16    +1.71250000E+00    -    
18       2017-10-12 13:34:16    +1.64310000E+00    -    
19       2017-10-12 13:34:17    +1.55640000E+00    -    
20       2017-10-12 13:34:17    +1.69910000E+00    -    
21       2017-10-12 13:34:17    +1.68960000E+00    -    
22       2017-10-12 13:34:17    +1.64250000E+00    -    
23       2017-10-12 13:34:17    +1.69400000E+00    -    
24       2017-10-12 13:34:18    +1.54910000E+00    -    
25       2017-10-12 13:34:18    +1.53730000E+00    -    
26       2017-10-12 13:34:18    +1.68000000E+00    -    
27       2017-10-12 13:34:18    +1.64370000E+00    -    
28       2017-10-12 13:34:19    +1.63750000E+00    -    
29       2017-10-12 13:34:19    +1.66440000E+00    -    
30       2017-10-12 13:34:19    +1.53170000E+00    -    
31       2017-10-12 13:34:19    +1.56640000E+00    -    
32       2017-10-12 13:34:19    +1.66490000E+00    -    
33       2017-10-12 13:34:20    +1.62690000E+00    -    
34       2017-10-12 13:34:20    +1.65370000E+00    -    
35       2017-10-12 13:34:20    +1.65600000E+00    -    
36       2017-10-12 13:34:20    +1.48190000E+00    -    
37       2017-10-12 13:34:20    +1.50150000E+00    -    
38       2017-10-12 13:34:21    +1.58830000E+00    -    
39       2017-10-12 13:34:21    +1.46790000E+00    -    
40       2017-10-12 13:34:21    +1.60390000E+00    -    
41       2017-10-12 13:34:21    +1.60560000E+00    -    
42       2017-10-12 13:34:21    +1.50260000E+00    -    
43       2017-10-12 13:34:22    +1.50490000E+00    -    
44       2017-10-12 13:34:22    +1.51550000E+00    -    
45       2017-10-12 13:34:22    +1.44890000E+00    -    
46       2017-10-12 13:34:22    +1.59330000E+00    -    
47       2017-10-12 13:34:22    +1.57930000E+00    -    
48       2017-10-12 13:34:23    +1.51100000E+00    -    
49       2017-10-12 13:34:23    +1.53010000E+00    -    
50       2017-10-12 13:34:23    +1.42040000E+00    -    
51       2017-10-12 13:34:23    +1.40920000E+00    -    
52       2017-10-12 13:34:23    +1.57200000E+00    -    
53       2017-10-12 13:34:24    +1.50710000E+00    -    
54       2017-10-12 13:34:24    +1.51440000E+00    -    
55       2017-10-12 13:34:24    +1.53290000E+00    -    
56       2017-10-12 13:34:24    +1.39350000E+00    -    
57       2017-10-12 13:34:24    +1.37840000E+00    -    
58       2017-10-12 13:34:25    +1.52000000E+00    -    
59       2017-10-12 13:34:25    +1.42480000E+00    -    
60       2017-10-12 13:34:25    +1.44220000E+00    -    
61       2017-10-12 13:34:25    +1.49870000E+00    -    
62       2017-10-12 13:34:25    +1.35710000E+00    -    
63       2017-10-12 13:34:26    +1.34870000E+00    -    
64       2017-10-12 13:34:26    +1.46230000E+00    -    
65       2017-10-12 13:34:26    +1.37780000E+00    -    
66       2017-10-12 13:34:26    +1.43830000E+00    -    
67       2017-10-12 13:34:26    +1.48860000E+00    -    
68       2017-10-12 13:34:27    +1.40640000E+00    -    
69       2017-10-12 13:34:27    +1.36500000E+00    -    
70       2017-10-12 13:34:27    +1.42650000E+00    -    
71       2017-10-12 13:34:27    +1.34150000E+00    -    
72       2017-10-12 13:34:27    +1.45450000E+00    -    
73       2017-10-12 13:34:28    +1.45390000E+00    -    
74       2017-10-12 13:34:28    +1.30120000E+00    -    
75       2017-10-12 13:34:28    +1.31180000E+00    -    
76       2017-10-12 13:34:28    +1.34760000E+00    -    
77       2017-10-12 13:34:28    +1.28660000E+00    -    
78       2017-10-12 13:34:29    +1.43550000E+00    -    
79       2017-10-12 13:34:29    +1.43770000E+00    -    
80       2017-10-12 13:34:29    +1.33190000E+00    -    
81       2017-10-12 13:34:29    +1.32190000E+00    -    
82       2017-10-12 13:34:29    +1.30840000E+00    -    
83       2017-10-12 13:34:30    +1.25810000E+00    -    
84       2017-10-12 13:34:30    +1.40530000E+00    -    
85       2017-10-12 13:34:30    +1.38570000E+00    -    
86       2017-10-12 13:34:30    +1.32640000E+00    -    
87       2017-10-12 13:34:30    +1.26260000E+00    -    
88       2017-10-12 13:34:31    +1.23120000E+00    -    
89       2017-10-12 13:34:31    +1.22670000E+00    -    
90       2017-10-12 13:34:31    +1.38230000E+00    -    
91       2017-10-12 13:34:31    +1.35490000E+00    -    
92       2017-10-12 13:34:32    +1.27820000E+00    -    
93       2017-10-12 13:34:32    +1.33310000E+00    -    
94       2017-10-12 13:34:32    +1.22060000E+00    -    
95       2017-10-12 13:34:32    +1.20160000E+00    -    
96       2017-10-12 13:34:32    +1.28830000E+00    -    
97       2017-10-12 13:34:33    +1.32800000E+00    -    
98       2017-10-12 13:34:33    +1.26650000E+00    -    
99       2017-10-12 13:34:33    +1.32410000E+00    -    
100      2017-10-12 13:34:33    +1.17360000E+00    -    
101      2017-10-12 13:34:33    +1.17410000E+00    -    
102      2017-10-12 13:34:34    +1.29780000E+00    -    
103      2017-10-12 13:34:34    +1.27490000E+00    -    
104      2017-10-12 13:34:34    +1.28330000E+00    -    
105      2017-10-12 13:34:34    +1.25250000E+00    -    
106      2017-10-12 13:34:34    +1.14500000E+00    -    
107      2017-10-12 13:34:35    +1.13940000E+00    -    
108      2017-10-12 13:34:35    +1.23120000E+00    -    
109      2017-10-12 13:34:35    +1.22230000E+00    -    
110      2017-10-12 13:34:35    +1.27370000E+00    -    
111      2017-10-12 13:34:35    +1.26480000E+00    -    
112      2017-10-12 13:34:36    +1.13050000E+00    -    
113      2017-10-12 13:34:36    +1.10590000E+00    -    
114      2017-10-12 13:34:36    +1.10640000E+00    -    
115      2017-10-12 13:34:36    +1.12490000E+00    -    
116      2017-10-12 13:34:36    +1.25300000E+00    -    
117      2017-10-12 13:34:37    +1.23900000E+00    -    
118      2017-10-12 13:34:37    +1.08790000E+00    -    
119      2017-10-12 13:34:37    +1.18420000E+00    -    
120      2017-10-12 13:34:37    +1.08910000E+00    -    
121      2017-10-12 13:34:37    +1.08120000E+00    -    
122      2017-10-12 13:34:38    +1.19710000E+00    -    
123      2017-10-12 13:34:38    +1.20770000E+00    -    
124      2017-10-12 13:34:38    +1.12770000E+00    -    
125      2017-10-12 13:34:38    +1.08790000E+00    -    
126      2017-10-12 13:34:38    +1.08350000E+00    -    
127      2017-10-12 13:34:39    +1.06610000E+00    -    
128      2017-10-12 13:34:39    +1.20660000E+00    -    
129      2017-10-12 13:34:39    +1.17750000E+00    -    
130      2017-10-12 13:34:39    +1.11540000E+00    -    
131      2017-10-12 13:34:39    +1.14450000E+00    -    
132      2017-10-12 13:34:40    +1.02860000E+00    -    
133      2017-10-12 13:34:40    +1.01630000E+00    -    
134      2017-10-12 13:34:40    +1.15960000E+00    -    
135      2017-10-12 13:34:40    +1.14110000E+00    -    
136      2017-10-12 13:34:40    +1.16240000E+00    -    
137      2017-10-12 13:34:41    +1.11370000E+00    -    
138      2017-10-12 13:34:41    +1.02080000E+00    -    
139      2017-10-12 13:34:41    +1.06508000E+00    -    
140      2017-10-12 13:34:41    +1.13329000E+00    -    
141      2017-10-12 13:34:41    +1.02055000E+00    -    
142      2017-10-12 13:34:42    +1.04785000E+00    -    
143      2017-10-12 13:34:42    +1.12233000E+00    -    
144      2017-10-12 13:34:42    +9.54380000E-01    -    
145      2017-10-12 13:34:42    +9.58050000E-01    -    
146      2017-10-12 13:34:42    +9.90940000E-01    -    
147      2017-10-12 13:34:43    +9.96990000E-01    -    
148      2017-10-12 13:34:43    +1.09255000E+00    -    
149      2017-10-12 13:34:43    +1.08837000E+00    -    
150      2017-10-12 13:34:43    +9.38840000E-01    -    
151      2017-10-12 13:34:43    +9.58610000E-01    -    
152      2017-10-12 13:34:44    +1.05322000E+00    -    
153      2017-10-12 13:34:44    +9.69350000E-01    -    
154      2017-10-12 13:34:44    +1.06186000E+00    -    
155      2017-10-12 13:34:44    +1.06446000E+00    -    
156      2017-10-12 13:34:45    +9.02330000E-01    -    
