IDN: HEWLETT-PACKARD,34420A,0,9.0-5.0-2.0
 
Nr.      Date                   Data_on_Ch_1_[V]   Data_on_Ch_2_[V]   
1        2017-10-13 13:47:26    +3.75300000E+00    +3.00920000E+00    
2        2017-10-13 13:47:26    +3.20120000E+00    +3.07470000E+00    
3        2017-10-13 13:47:26    +3.09370000E+00    +3.04610000E+00    
4        2017-10-13 13:47:27    +3.03550000E+00    +2.99740000E+00    
5        2017-10-13 13:47:27    +3.05730000E+00    +3.02490000E+00    
6        2017-10-13 13:47:28    +3.04610000E+00    +3.02320000E+00    
7        2017-10-13 13:47:28    +2.97390000E+00    +2.95270000E+00    
8        2017-10-13 13:47:28    +3.01760000E+00    +2.98570000E+00    
9        2017-10-13 13:47:29    +3.00020000E+00    +2.97620000E+00    
10       2017-10-13 13:47:29    +2.93030000E+00    +2.91070000E+00    
11       2017-10-13 13:47:30    +2.94090000E+00    +2.90900000E+00    
12       2017-10-13 13:47:30    +2.95830000E+00    +2.93590000E+00    
13       2017-10-13 13:47:30    +2.90120000E+00    +2.88270000E+00    
14       2017-10-13 13:47:31    +2.89000000E+00    +2.85360000E+00    
15       2017-10-13 13:47:31    +2.92130000E+00    +2.88830000E+00    
16       2017-10-13 13:47:32    +2.86140000E+00    +2.83910000E+00    
17       2017-10-13 13:47:32    +2.84300000E+00    +2.80830000E+00    
18       2017-10-13 13:47:33    +2.87040000E+00    +2.83910000E+00    
19       2017-10-13 13:47:33    +2.82560000E+00    +2.80550000E+00    
20       2017-10-13 13:47:33    +2.79820000E+00    +2.76300000E+00    
21       2017-10-13 13:47:34    +2.82510000E+00    +2.79540000E+00    
22       2017-10-13 13:47:34    +2.79430000E+00    +2.77470000E+00    
23       2017-10-13 13:47:35    +2.75680000E+00    +2.72430000E+00    
24       2017-10-13 13:47:35    +2.77860000E+00    +2.74950000E+00    
25       2017-10-13 13:47:35    +2.76460000E+00    +2.74390000E+00    
26       2017-10-13 13:47:36    +2.70870000E+00    +2.67560000E+00    
27       2017-10-13 13:47:36    +2.75400000E+00    +2.71310000E+00    
28       2017-10-13 13:47:37    +2.73220000E+00    +2.70590000E+00    
29       2017-10-13 13:47:37    +2.67340000E+00    +2.64770000E+00    
30       2017-10-13 13:47:37    +2.69690000E+00    +2.65490000E+00    
31       2017-10-13 13:47:38    +2.69300000E+00    +2.67010000E+00    
32       2017-10-13 13:47:38    +2.62530000E+00    +2.60120000E+00    
33       2017-10-13 13:47:39    +2.62360000E+00    +2.59060000E+00    
34       2017-10-13 13:47:39    +2.65380000E+00    +2.62810000E+00    
35       2017-10-13 13:47:39    +2.58440000E+00    +2.56990000E+00    
36       2017-10-13 13:47:40    +2.58160000E+00    +2.54920000E+00    
37       2017-10-13 13:47:40    +2.61410000E+00    +2.58610000E+00    
38       2017-10-13 13:47:41    +2.58330000E+00    +2.56150000E+00    
39       2017-10-13 13:47:41    +2.54360000E+00    +2.51340000E+00    
40       2017-10-13 13:47:41    +2.55980000E+00    +2.53800000E+00    
41       2017-10-13 13:47:42    +2.55030000E+00    +2.52900000E+00    
42       2017-10-13 13:47:42    +2.49100000E+00    +2.46520000E+00    
43       2017-10-13 13:47:43    +2.51170000E+00    +2.48430000E+00    
44       2017-10-13 13:47:43    +2.50830000E+00    +2.48200000E+00    
45       2017-10-13 13:47:43    +2.46520000E+00    +2.43840000E+00    
46       2017-10-13 13:47:44    +2.46860000E+00    +2.43440000E+00    
47       2017-10-13 13:47:44    +2.48700000E+00    +2.45910000E+00    
48       2017-10-13 13:47:45    +2.41650000E+00    +2.39250000E+00    
49       2017-10-13 13:47:45    +2.43390000E+00    +2.40200000E+00    
50       2017-10-13 13:47:46    +2.44790000E+00    +2.42100000E+00    
51       2017-10-13 13:47:46    +2.38460000E+00    +2.36500000E+00    
52       2017-10-13 13:47:46    +2.38300000E+00    +2.34770000E+00    
53       2017-10-13 13:47:47    +2.41090000E+00    +2.38630000E+00    
54       2017-10-13 13:47:47    +2.36670000E+00    +2.34430000E+00    
55       2017-10-13 13:47:48    +2.33820000E+00    +2.30910000E+00    
56       2017-10-13 13:47:48    +2.37340000E+00    +2.34490000E+00    
57       2017-10-13 13:47:48    +2.34660000E+00    +2.32420000E+00    
58       2017-10-13 13:47:49    +2.30070000E+00    +2.26990000E+00    
59       2017-10-13 13:47:49    +2.32310000E+00    +2.29790000E+00    
60       2017-10-13 13:47:50    +2.30850000E+00    +2.28450000E+00    
61       2017-10-13 13:47:50    +2.26430000E+00    +2.23690000E+00    
62       2017-10-13 13:47:50    +2.27770000E+00    +2.24360000E+00    
63       2017-10-13 13:47:51    +2.28450000E+00    +2.26150000E+00    
64       2017-10-13 13:47:51    +2.22960000E+00    +2.20610000E+00    
65       2017-10-13 13:47:52    +2.25980000E+00    +2.22680000E+00    
66       2017-10-13 13:47:52    +2.25540000E+00    +2.23410000E+00    
67       2017-10-13 13:47:52    +2.20280000E+00    +2.18260000E+00    
68       2017-10-13 13:47:53    +2.20720000E+00    +2.17200000E+00    
69       2017-10-13 13:47:53    +2.22230000E+00    +2.19830000E+00    
70       2017-10-13 13:47:54    +2.16360000E+00    +2.14510000E+00    
71       2017-10-13 13:47:54    +2.15130000E+00    +2.11820000E+00    
72       2017-10-13 13:47:54    +2.19440000E+00    +2.16530000E+00    
73       2017-10-13 13:47:55    +2.15290000E+00    +2.12720000E+00    
74       2017-10-13 13:47:55    +2.11710000E+00    +2.08410000E+00    
75       2017-10-13 13:47:56    +2.14900000E+00    +2.11660000E+00    
76       2017-10-13 13:47:56    +2.11710000E+00    +2.09700000E+00    
77       2017-10-13 13:47:56    +2.08070000E+00    +2.05160000E+00    
78       2017-10-13 13:47:57    +2.10430000E+00    +2.07400000E+00    
79       2017-10-13 13:47:57    +2.09080000E+00    +2.06730000E+00    
80       2017-10-13 13:47:58    +2.04880000E+00    +2.01640000E+00    
81       2017-10-13 13:47:58    +2.06340000E+00    +2.03320000E+00    
82       2017-10-13 13:47:59    +2.07520000E+00    +2.05110000E+00    
83       2017-10-13 13:47:59    +2.00970000E+00    +1.98230000E+00    
84       2017-10-13 13:47:59    +2.04050000E+00    +2.00240000E+00    
85       2017-10-13 13:48:00    +2.04100000E+00    +2.01920000E+00    
86       2017-10-13 13:48:00    +1.98390000E+00    +1.96550000E+00    
87       2017-10-13 13:48:01    +1.97550000E+00    +1.94640000E+00    
88       2017-10-13 13:48:01    +2.01300000E+00    +1.98620000E+00    
89       2017-10-13 13:48:01    +1.95650000E+00    +1.93690000E+00    
90       2017-10-13 13:48:02    +1.94310000E+00    +1.90890000E+00    
91       2017-10-13 13:48:02    +1.98450000E+00    +1.95540000E+00    
92       2017-10-13 13:48:03    +1.95430000E+00    +1.93020000E+00    
93       2017-10-13 13:48:03    +1.90560000E+00    +1.87650000E+00    
94       2017-10-13 13:48:03    +1.93300000E+00    +1.90330000E+00    
95       2017-10-13 13:48:04    +1.92130000E+00    +1.90000000E+00    
96       2017-10-13 13:48:04    +1.87030000E+00    +1.84290000E+00    
97       2017-10-13 13:48:05    +1.89940000E+00    +1.86580000E+00    
98       2017-10-13 13:48:05    +1.89610000E+00    +1.87480000E+00    
99       2017-10-13 13:48:05    +1.84400000E+00    +1.82160000E+00    
100      2017-10-13 13:48:06    +1.85240000E+00    +1.82280000E+00    
101      2017-10-13 13:48:06    +1.85800000E+00    +1.83670000E+00    
102      2017-10-13 13:48:07    +1.83060000E+00    +1.79810000E+00    
103      2017-10-13 13:48:07    +1.81440000E+00    +1.78020000E+00    
104      2017-10-13 13:48:07    +1.84850000E+00    +1.81880000E+00    
105      2017-10-13 13:48:08    +1.79370000E+00    +1.77180000E+00    
106      2017-10-13 13:48:08    +1.78020000E+00    +1.74720000E+00    
107      2017-10-13 13:48:09    +1.81440000E+00    +1.78750000E+00    
108      2017-10-13 13:48:09    +1.77290000E+00    +1.75670000E+00    
109      2017-10-13 13:48:09    +1.74160000E+00    +1.71190000E+00    
110      2017-10-13 13:48:10    +1.77970000E+00    +1.74660000E+00    
111      2017-10-13 13:48:10    +1.76290000E+00    +1.74220000E+00    
112      2017-10-13 13:48:11    +1.71030000E+00    +1.68120000E+00    
113      2017-10-13 13:48:11    +1.72820000E+00    +1.70190000E+00    
114      2017-10-13 13:48:12    +1.73430000E+00    +1.71360000E+00    
115      2017-10-13 13:48:12    +1.67280000E+00    +1.64870000E+00    
116      2017-10-13 13:48:12    +1.70130000E+00    +1.67330000E+00    
117      2017-10-13 13:48:13    +1.70690000E+00    +1.68840000E+00    
118      2017-10-13 13:48:13    +1.64870000E+00    +1.63190000E+00    
119      2017-10-13 13:48:14    +1.70020000E+00    +1.65820000E+00    
120      2017-10-13 13:48:14    +1.68230000E+00    +1.65430000E+00    
121      2017-10-13 13:48:14    +1.64650000E+00    +1.62520000E+00    
122      2017-10-13 13:48:15    +1.65540000E+00    +1.63470000E+00    
123      2017-10-13 13:48:15    +1.63700000E+00    +1.61060000E+00    
124      2017-10-13 13:48:16    +1.60670000E+00    +1.58210000E+00    
125      2017-10-13 13:48:16    +1.61510000E+00    +1.57260000E+00    
126      2017-10-13 13:48:17    +1.61620000E+00    +1.59440000E+00    
127      2017-10-13 13:48:17    +1.57040000E+00    +1.55190000E+00    
128      2017-10-13 13:48:17    +1.61510000E+00    +1.57370000E+00    
129      2017-10-13 13:48:18    +1.53230000E+00    +1.50990000E+00    
130      2017-10-13 13:48:18    +1.52170000E+00    +1.50210000E+00    
131      2017-10-13 13:48:19    +1.51550000E+00    +1.50490000E+00    
132      2017-10-13 13:48:19    +1.57930000E+00    +1.53960000E+00    
133      2017-10-13 13:48:20    +1.49540000E+00    +1.47470000E+00    
134      2017-10-13 13:48:20    +1.55080000E+00    +1.52330000E+00    
135      2017-10-13 13:48:20    +1.53960000E+00    +1.50710000E+00    
136      2017-10-13 13:48:21    +1.53570000E+00    +1.50210000E+00    
137      2017-10-13 13:48:21    +1.46120000E+00    +1.44000000E+00    
138      2017-10-13 13:48:22    +1.45510000E+00    +1.42990000E+00    
139      2017-10-13 13:48:22    +1.48470000E+00    +1.45840000E+00    
140      2017-10-13 13:48:23    +1.49540000E+00    +1.46010000E+00    
141      2017-10-13 13:48:23    +1.45340000E+00    +1.43040000E+00    
142      2017-10-13 13:48:24    +1.44560000E+00    +1.42650000E+00    
143      2017-10-13 13:48:24    +1.46070000E+00    +1.44110000E+00    
144      2017-10-13 13:48:25    +1.38510000E+00    +1.37450000E+00    
145      2017-10-13 13:48:25    +1.39850000E+00    +1.37900000E+00    
146      2017-10-13 13:48:26    +1.43660000E+00    +1.41420000E+00    
147      2017-10-13 13:48:26    +1.43380000E+00    +1.40190000E+00    
148      2017-10-13 13:48:26    +1.42480000E+00    +1.39240000E+00    
149      2017-10-13 13:48:27    +1.34820000E+00    +1.33030000E+00    
150      2017-10-13 13:48:27    +1.35830000E+00    +1.32860000E+00    
151      2017-10-13 13:48:28    +1.36220000E+00    +1.33310000E+00    
152      2017-10-13 13:48:28    +1.34590000E+00    +1.31120000E+00    
153      2017-10-13 13:48:29    +1.32360000E+00    +1.30400000E+00    
154      2017-10-13 13:48:29    +1.34710000E+00    +1.32750000E+00    
155      2017-10-13 13:48:30    +1.37500000E+00    +1.33920000E+00    
156      2017-10-13 13:48:30    +1.34540000E+00    +1.31070000E+00    
157      2017-10-13 13:48:31    +1.34590000E+00    +1.30560000E+00    
158      2017-10-13 13:48:31    +1.34540000E+00    +1.30230000E+00    
159      2017-10-13 13:48:32    +1.33080000E+00    +1.31010000E+00    
160      2017-10-13 13:48:32    +2.33280000E-01    -5.89310000E-01    
161      2017-10-13 13:48:33    -9.76600000E-01    -1.11165000E+00    
162      2017-10-13 13:48:33    -1.04490000E+00    -1.12719000E+00    
163      2017-10-13 13:48:34    -1.35660000E+00    -1.21390000E+00    
164      2017-10-13 13:48:34    -1.32860000E+00    -1.29390000E+00    
165      2017-10-13 13:48:34    -1.19650000E+00    -1.32580000E+00    
166      2017-10-13 13:48:35    -1.51440000E+00    -1.41810000E+00    
167      2017-10-13 13:48:35    -7.34150000E-01    -6.17560000E-01    
168      2017-10-13 13:48:36    -5.66310000E-01    -9.15670000E-01    
169      2017-10-13 13:48:36    -3.39860000E-01    -1.14923000E+00    
170      2017-10-13 13:48:37    -7.75100000E-01    -1.23740000E+00    
171      2017-10-13 13:48:37    -1.19320000E+00    -1.35710000E+00    
172      2017-10-13 13:48:38    -1.53400000E+00    -1.35380000E+00    
173      2017-10-13 13:48:38    -1.10700000E+00    -2.72710000E+00    
174      2017-10-13 13:48:38    -1.58320000E+00    -1.22000000E+00    
175      2017-10-13 13:48:39    -1.20990000E+00    -1.26810000E+00    
176      2017-10-13 13:48:39    -1.09910000E+00    -1.04930000E+00    
177      2017-10-13 13:48:40    -1.97720000E+00    +2.46280000E-01    
178      2017-10-13 13:48:40    -7.78790000E-01    -1.34090000E+00    
179      2017-10-13 13:48:41    -1.08070000E+00    -1.24800000E+00    
180      2017-10-13 13:48:41    +1.01970000E+00    +1.08283000E+00    
181      2017-10-13 13:48:41    +1.01970000E+00    +7.77270000E-01    
182      2017-10-13 13:48:42    +1.01850000E+00    +1.20100000E+00    
183      2017-10-13 13:48:42    +1.01910000E+00    +1.03370000E+00    
184      2017-10-13 13:48:43    +1.01910000E+00    +1.04880000E+00    
185      2017-10-13 13:48:43    +1.01970000E+00    +1.07840000E+00    
186      2017-10-13 13:48:44    +1.01800000E+00    +8.51300000E-01    
187      2017-10-13 13:48:44    +1.01970000E+00    +1.11312000E+00    
188      2017-10-13 13:48:45    +1.01970000E+00    +9.66130000E-01    
189      2017-10-13 13:48:45    +1.01970000E+00    +9.89360000E-01    
190      2017-10-13 13:48:45    +1.01910000E+00    +1.07249000E+00    
191      2017-10-13 13:48:46    +1.01850000E+00    +1.08633000E+00    
192      2017-10-13 13:48:46    +1.01850000E+00    +1.07186000E+00    
193      2017-10-13 13:48:47    +1.01850000E+00    +1.04937000E+00    
194      2017-10-13 13:48:47    +1.01850000E+00    +9.14820000E-01    
195      2017-10-13 13:48:48    +1.01910000E+00    +1.07283000E+00    
196      2017-10-13 13:48:48    +1.01970000E+00    +8.87920000E-01    
197      2017-10-13 13:48:49    +1.01970000E+00    +1.09057000E+00    
198      2017-10-13 13:48:49    +1.02020000E+00    +9.95860000E-01    
