IDN: HEWLETT-PACKARD,34420A,0,9.0-5.0-2.0
 
Nr.    Date                   Data_on_Ch_1_[V]   Data_on_Ch_2_[V]   
1      2017-10-12 11:36:18    +1.69850000E+00    +1.40860000E+00    
2      2017-10-12 11:36:18    +1.46460000E+00    +1.41250000E+00    
3      2017-10-12 11:36:19    +1.41090000E+00    +1.42880000E+00    
4      2017-10-12 11:36:19    +1.48250000E+00    +1.44720000E+00    
5      2017-10-12 11:36:20    +1.49760000E+00    +1.41810000E+00    
6      2017-10-12 11:36:20    +1.50100000E+00    +1.41760000E+00    
7      2017-10-12 11:36:21    +1.48530000E+00    +1.40970000E+00    
8      2017-10-12 11:36:21    +1.45450000E+00    +1.39350000E+00    
9      2017-10-12 11:36:21    +1.50660000E+00    +1.46850000E+00    
10     2017-10-12 11:36:22    +1.51380000E+00    +1.43940000E+00    
11     2017-10-12 11:36:22    +1.52280000E+00    +1.44560000E+00    
